STUDENT_REF_NO	SURNAME	GIVEN_NAME	DATE_OF_BIRTH	SEX	ORIENTATION	RELIGION	INSURANCE_NO	ADDRESS_1	ADDRESS_2	CITY	POSTAL_CODE	TEL_NO	EMAIL	TWITTER	EMP_STATUS	INCOME_DESC	LIVING_DESC	QUALIFICATION	ELIGIBILITY_COMMENT	EQUALITY	BENEFIT_DESC	ETHN_NAME	ETHN_BAK_NAME	DISABILITY	DISABILITY_NATU	OTHER_NEED	DATE_REGISTER	BENEF_TYPE	VOL_START_DATE	VOL_END_DATE	WITH_CARER	ABOUT_US	REFER_BY	VOL_PROFESSION	DATE_ARRIVEUK	
BLF0039/2016	Asd	Df	30-JUN-66	Male	Hetro Sexual	Prefer Not to Say	_________	null	null	Liverpool	null	(____) ___-____	null	null	Full-Time Education	Prefer to say	Council Accomodation 	Level 2	null	null	Working Tax Credit	Asian/Asian UK	Mixed	null	null	null	30-JUN-16	BLF_NONAcc	null	null	FALSE	null	null	null	null	
BLF0027/2016	Erer	Sdf	30-JUN-66	Male	Hetro Sexual	Prefer Not to Say	ED123123E	dsfd	df	Liverpool	dfs	(____) ___-____	null	null	Unemployed	<#20,000	Council Accomodation 	Level 2	null	null	Income Supports	Mixed Ethinc Background	English/Scottish/Welsh/Northern Irish/UK	null	null	null	30-JUN-16	BLF_NONAcc	null	null	FALSE	null	null	null	16-JUN-16	
BLF0054/2016	Devid	Dfa	30-JUN-00	Male	Hetro Sexual	Christian	SD213434S	sdf	df	Liverpool	df	(____) ___-____	null	null	Part-Time Education	Prefer to say	Shared Accomodation	No-Qualification	null	null	Job  Seekers Allowance	White	Gypsy/Irish Traveller	Disabled	UFI-Physical Disability	null	30-JUN-16	BLF_NONAcc	null	null	FALSE	null	null	null	15-JUN-16	
BLF0010/2016	Fasdf	Sdfa	23-JUN-66	Female	Bisexual	Buddhist	SD123123S	sd	sd	Liverpool	sd	(1231) 231-2312	null	sdfassafdsf	Unemployed	> £10,000	Privately Rented	Level 1	sdfas	null	Other Benefites	Mixed Ethinc Background	English/Scottish/Welsh/Northern Irish/UK	null	null	fasdf	15-JUN-16	BLF_NONAcc	null	null	FALSE	A Friend/Relative	sdf	null	null	
BLF0037/2016	Sdf	Sdf	01-JUN-66	Male	Hetro Sexual	Prefer Not to Say	_________	null	null	Liverpool	null	(____) ___-____	null	null	Full-Time Education	> £10,000	Council Accomodation 	Level 2	null	null	Income Supports	Mixed Ethinc Background	English/Scottish/Welsh/Northern Irish/UK	null	null	null	15-JUN-16	BLF_NONAcc	null	null	FALSE	null	null	null	null	
BLF0018/2016	Sdf	Sdf	30-JUN-82	Male	Bisexual	Prefer Not to Say	SD123123D	f	f	Liverpool	sdf	(____) ___-____	null	null	Unemployed	> £10,000	I am Currently Homeless	Level 2	null	Refugee	Income Supports	Asian/Asian UK	Mixed	Disabled	UFI-Mental Illeness	null	30-JUN-16	BLF_NONAcc	null	null	FALSE	Passed the Office	asdf	null	17-JUN-16	
BLF0040/2016	Sadf	Sdf	01-FEB-00	Male	Hetro Sexual	Christian	_________	null	null	Liverpool	null	(____) ___-____	null	null	Full-Time Education	<#20,000	Council Accomodation 	Level 2	null	null	Income Supports	Asian/Asian UK	Mixed	null	null	null	30-JUN-16	BLF_NONAcc	null	null	FALSE	null	null	null	null	
BLF0014/2016	Fa	Df	30-JUN-66	Male	Bisexual	Christian	SA213231D	sdf	sdf	Liverpool	sdf	(____) ___-____	null	null	Unemployed	> £10,000	Shared Accomodation	Level 2	null	null	Income Supports	Mixed Ethinc Background	English/Scottish/Welsh/Northern Irish/UK	null	null	null	30-JUN-16	BLF_NONAcc	null	null	FALSE	null	df	null	15-JUN-16	
BLF0024/2016	Sdf	Sdf	30-JUN-82	Male	Lesbian	Buddhist	WE123423E	df	sf	Liverpool	sdf	(____) ___-____	null	null	Full-Time Education	> £10,000	Shared Accomodation	No-Qualification	sdf	Asylum Seeker	Job  Seekers Allowance	Mixed Ethinc Background	English/Scottish/Welsh/Northern Irish/UK	Disabled	UFI-Physical Disability	sdf	30-JUN-16	BLF_NONAcc	null	null	FALSE	Passed the Office	asdf	null	15-JUN-16	
BLF0020/2016	Saf	Sdf	30-JUN-82	Female	Bisexual	Christian	AS323423D	sd	d	Liverpool	d	(____) ___-____	null	null	Unemployed	> £10,000	Shared Accomodation	No-Qualification	d	Lone Parent	Job  Seekers Allowance	Mixed Ethinc Background	English/Scottish/Welsh/Northern Irish/UK	Considerd Disabled	UFI-Mental Illeness	d	30-JUN-16	BLF_NONAcc	null	null	FALSE	A Friend/Relative	d	null	08-JUN-16	
BLF0006/2016	We	We	29-JUN-66	Male	Bisexual	Christian	WE123123S	ew	we	Liverpool	er	(1231) 231-2312	null	null	Unemployed	Prefer to say	I Own my Own Home2	Level 1	sadfas	Refugee	Working Tax Credit	Black/African/Carribean/Black UK	Bangladeshi	null	null	sdfasf	29-JUN-16	BLF_NONAcc,BLF_VOL	29-JUN-16	07-SEP-16	FALSE	A Friend/Relative	sdfasdf	wer	null	
BLF0016/2016	Sdf	Sdf	30-JUN-66	Male	Bisexual	Christian	SD213123_	sd	dsf	Liverpool	sdf	(____) ___-____	null	null	Unemployed	Prefer to say	I Own my Own Home2	No-Qualification	sdfa	Refugee	Working Tax Credit	Asian/Asian UK	Mixed	Disabled	UFI-Mental Illeness	sdf	30-JUN-16	BLF_NONAcc	null	null	FALSE	A Friend/Relative	asdf	null	18-JUN-16	
BLF0036/2016	Df	Sdf	30-JUN-66	Male	Hetro Sexual	Prefer Not to Say	_________	null	null	Liverpool	null	(____) ___-____	null	null	Unemployed	<#20,000	Council Accomodation 	Level 2	null	null	Income Supports	Asian/Asian UK	Mixed	null	null	null	30-JUN-16	BLF_NONAcc	null	null	FALSE	null	null	null	null	
